id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count,year,month,day,hour
2685304,Дорожно-транспортные происшествия,Столкновение,Санкт-Петербург,30.358765,59.837716,2022-01-12 12:05:00,Светлое время суток,Ясно,Заснеженное,3,Все участники,Легкий,0,2,2022,1,12,12
2840596,Дорожно-транспортные происшествия,Съезд с дороги,Алтайский край,85.640821,52.651552,2023-05-20 15:30:00,Светлое время суток,Ясно,Сухое,2,Все участники,Легкий,0,1,2023,5,20,15
1980641,Дорожно-транспортные происшествия,Наезд на пешехода,Кировская область,49.634641,58.593284,2017-10-02 21:08:00,"В темное время суток, освещение включено",Пасмурно,"Сухое, Отсутствие дорожных знаков в необходимых местах",2,"Пешеходы, Все участники",Легкий,0,1,2017,10,2,21
2534120,Дорожно-транспортные происшествия,Наезд на пешехода,Республика Татарстан (Татарстан),50.861979,55.414278,2021-01-12 20:34:00,"В темное время суток, освещение отсутствует",Ясно,"Недостатки зимнего содержания, Заснеженное, Отсутствие освещения, Отсутствие тротуаров (пешеходных дорожек)",2,"Пешеходы, Все участники",С погибшими,1,0,2021,1,12,20
1585111,Дорожно-транспортные происшествия,Наезд на пешехода,Белгородская область,37.5389,51.2979,2016-03-04 19:25:00,"В темное время суток, освещение включено",Дождь,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",3,"Пешеходы, Все участники",Тяжёлый,0,1,2016,3,4,19
1954947,Дорожно-транспортные происшествия,Столкновение,Рязанская область,39.019505,54.238759,2019-08-31 14:10:00,Светлое время суток,Ясно,Сухое,3,Все участники,Тяжёлый,0,2,2019,8,31,14
2558533,Дорожно-транспортные происшествия,Съезд с дороги,Мурманская область,33.411655,68.109206,2021-04-27 20:59:00,Светлое время суток,Ясно,Сухое,1,Все участники,Легкий,0,1,2021,4,27,20
2703111,Дорожно-транспортные происшествия,Наезд на пешехода,Московская область,37.06565,56.080712,2022-04-06 19:30:00,"В темное время суток, освещение включено",Пасмурно,"Иные недостатки, Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Все участники",Тяжёлый,0,1,2022,4,6,19
1683320,Дорожно-транспортные происшествия,Столкновение,Пермский край,56.179167,57.963056,2015-06-14 21:50:00,Светлое время суток,Ясно,Сухое,2,Все участники,Тяжёлый,0,1,2015,6,14,21
1991559,Дорожно-транспортные происшествия,Столкновение,Нижегородская область,43.877914,56.352352,2018-07-17 13:00:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,Все участники,Легкий,0,1,2018,7,17,13
1703888,Дорожно-транспортные происшествия,Столкновение,Краснодарский край,40.38327,45.26286,2017-12-08 13:30:00,Светлое время суток,Дождь,Мокрое,3,Все участники,Легкий,0,1,2017,12,8,13
1819449,Дорожно-транспортные происшествия,Столкновение,Оренбургская область,55.132259,51.76954,2019-09-29 00:42:00,"В темное время суток, освещение включено",Ясно,Сухое,4,Все участники,Тяжёлый,0,1,2019,9,29,0
2218933,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Архангельская область,39.445556,64.381667,2015-08-09 19:42:00,Светлое время суток,Пасмурно,Сухое,3,"Дети, Все участники",Легкий,0,2,2015,8,9,19
2254355,Дорожно-транспортные происшествия,Наезд на пешехода,Челябинская область,61.230755,54.607614,2019-10-05 12:30:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Все участники",Легкий,0,1,2019,10,5,12
1936329,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Тверская область,37.405516,56.864325,2018-04-07 14:30:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",4,"Дети, Все участники",Тяжёлый,0,3,2018,4,7,14
1586794,Дорожно-транспортные происшествия,Столкновение,Воронежская область,39.302108,51.436862,2020-04-21 20:30:00,"В темное время суток, освещение отсутствует",Ясно,Сухое,3,Все участники,Тяжёлый,0,2,2020,4,21,20
1775557,Дорожно-транспортные происшествия,Столкновение,Свердловская область,63.4042,57.7353,2016-07-25 09:40:00,Светлое время суток,Ясно,Сухое,4,Все участники,Легкий,0,2,2016,7,25,9
1601226,Дорожно-транспортные происшествия,Столкновение,Воронежская область,39.2286,51.6842,2016-06-01 23:10:00,"В темное время суток, освещение включено",Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,Все участники,С погибшими,1,0,2016,6,1,23
2242708,Дорожно-транспортные происшествия,Наезд на стоящее ТС,Челябинская область,61.314805,55.17809,2017-04-29 02:20:00,"В темное время суток, освещение включено",Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,"Мотоциклисты, Все участники",С погибшими,1,0,2017,4,29,2
2566222,Дорожно-транспортные происшествия,Столкновение,Приморский край,132.248204,43.446158,2021-04-25 21:30:00,"В темное время суток, освещение отсутствует",Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,Все участники,Тяжёлый,0,1,2021,4,25,21
2015643,Дорожно-транспортные происшествия,Столкновение,Нижегородская область,43.9213,56.2778,2017-02-19 08:20:00,Светлое время суток,Ясно,"Обработанное противогололедными материалами, Недостатки зимнего содержания",5,Все участники,Легкий,0,2,2017,2,19,8
