accident_id,vehicle_id,category,brand,model,manufacture_year
2711895,2711895_1,"D-класс (средний) до 4,6 м",TOYOTA,Corolla,2001
2711895,2711895_2,"С-класс (малый средний, компактный) до 4,3 м",HONDA,Logo,1997
2827848,2827848_1,Одноэтажные длиной от 8 до 12 м,MERCEDES,O 405,1986
2310074,2310074_1,"В-класс (малый) до 3,9 м",ВАЗ, Жигули  ВАЗ-2107 модификации,2006
2313007,2313007_1,"В-класс (малый) до 3,9 м",MAZDA,Прочие модели Mazda,2001
2314025,2314025_1,Одноэтажные длиной от 8 до 12 м,Прочие марки автобусов,Прочие марки автобусов,1986
2314025,2314025_2,Одноэтажные длиной от 8 до 12 м,Прочие марки автобусов,Прочие марки автобусов,1986
2317052,2317052_1,"D-класс (средний) до 4,6 м",TOYOTA,Windom,1993
2319133,2319133_1,"D-класс (средний) до 4,6 м",TOYOTA,Carina,1996
2319133,2319133_2,"D-класс (средний) до 4,6 м",TOYOTA,Corolla,1988
2320317,2320317_1,Одноэтажные длиной от 5 до 8 м,ПАЗ,3204,2010
2320317,2320317_2,Одноэтажные длиной от 8 до 12 м,DAIMLER,Прочие модели DAIMLER,1981
2320659,2320659_1,"В-класс (малый) до 3,9 м",RENAULT,Logan,2006
2320659,2320659_2,"В-класс (малый) до 3,9 м",TOYOTA,Corolla,2004
2310484,2310484_1,"В-класс (малый) до 3,9 м",ВАЗ,"ВАЗ 2111, 21110 (универсал), 21113, 21114",2005
2310484,2310484_2,"В-класс (малый) до 3,9 м",ВАЗ, Жигули  ВАЗ-2107 модификации,2007
2323385,2323385_1,Мопеды с двигателем внутреннего сгорания менее 50 см. куб.,Прочие марки ТС,Прочие марки и модели ТС,2000
2770887,2770887_1,"В-класс (малый) до 3,9 м",ВАЗ," Жигули  ВАЗ-2101, 02, 03 и модификации",1986
2528902,2528902_1,Фургоны,ГАЗ,Прочие модели ГАЗ,2018
2711757,2711757_1,Мопеды с двигателем внутреннего сгорания менее 50 см. куб.,Прочие марки мотоциклов,Прочие марки мотоциклов,2008
2324295,2324295_1,Прочие легковые автомобили,ГАЗ,"ГАЗ 3110, 3110-101, 3110-111, 3110-311, 3110-331, 3110-341, 3110-411, 3110-441, 3110-600",2006
2324295,2324295_2,Фургоны,MERCEDES,Прочие модели Mercedes,2011
2612182,2612182_1,"В-класс (малый) до 3,9 м",TOYOTA,Corolla,1998
2315608,2315608_1,"В-класс (малый) до 3,9 м",TOYOTA,Corolla,1998
2058129,2058129_1,"С-класс (малый средний, компактный) до 4,3 м",TOYOTA,Duet,1999
2058129,2058129_2,Прочие легковые автомобили,TOYOTA,Noah,1997
2485528,2485528_1,Мотоциклы,УРАЛ,M 67,1981
2536808,2536808_1,Прочие легковые автомобили,TOYOTA,Wish,2010
2057723,2057723_1,Мотоциклы,ИЖ,Планета,
2059450,2059450_1,"В-класс (малый) до 3,9 м",TOYOTA,Corolla,1988
2059450,2059450_2,"В-класс (малый) до 3,9 м",TOYOTA,Liteace,1989
2059450,2059450_3,"В-класс (малый) до 3,9 м",NISSAN,Skyline,2004
2220046,2220046_1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ,"ВАЗ 2111, 21110 (универсал), 21113, 21114",2005
2220046,2220046_2,"В-класс (малый) до 3,9 м",ИЖ,ИЖ 21261,2004
2219769,2219769_1,"В-класс (малый) до 3,9 м",VOLKSWAGEN,Polo,2011
2217975,2217975_1,"В-класс (малый) до 3,9 м",ВАЗ,ВАЗ 2131 и модификации,2012
2217874,2217874_1,"В-класс (малый) до 3,9 м",RENAULT,Megane,2008
2217874,2217874_2,Прочие легковые автомобили,TOYOTA,RAV 4,2018
2222045,2222045_1,Прочие легковые автомобили,RENAULT,Logan,2011
2638962,2638962_1,"В-класс (малый) до 3,9 м",HYUNDAI,Getz,2004
2118696,2118696_1,"В-класс (малый) до 3,9 м",VOLKSWAGEN,Polo,2012
2118696,2118696_2,"В-класс (малый) до 3,9 м",ВАЗ,Priora,2016
2116593,2116593_1,Прочие легковые автомобили,ВАЗ,Priora,2015
2114232,2114232_1,"В-класс (малый) до 3,9 м",ВАЗ,"ВАЗ 2110, 21101, 21102, 21103, 21108",2001
2117061,2117061_1,Мотоциклы,MM,Прочие модели MM,2014
2904808,2904808_1,"В-класс (малый) до 3,9 м",RENAULT,Logan,2014
1584653,1584653_1,Одноэтажные длиной от 5 до 8 м,MERCEDES,Прочие модели Mercedes,2014
1584653,1584653_2,"С-класс (малый средний, компактный) до 4,3 м",BMW,Прочие модели BMW,1997
2797531,2797531_1,"В-класс (малый) до 3,9 м",ВАЗ,Granta (Гранта),2020
1580401,1580401_1,Одноэтажные длиной от 5 до 8 м,ГАЗ,Прочие модели ГАЗ,2017
1580401,1580401_2,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ, Жигули  ВАЗ-2106 модификации,1985
1585051,1585051_1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ,Granta (Гранта),2013
1585051,1585051_2,"С-класс (малый средний, компактный) до 4,3 м",HONDA,Civic,2007
1585603,1585603_1,"В-класс (малый) до 3,9 м",TOYOTA,Auris,2008
1585603,1585603_2,"D-класс (средний) до 4,6 м",ВАЗ,ВАЗ 2114 и модификации,2005
1580464,1580464_1,Мотоциклы,ИЖ,Прочие модели ИЖ,1993
2824225,2824225_1,Мотоциклы,YAMAHA,FZ,2005
2650858,2650858_1,Прочие легковые автомобили,RENAULT,Logan,2015
