id,tags,category,region,county,address,longitude,latitude,nearby,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count
1670420,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Пермский край,Очерский район,"М-7 Подъезд к городу Пермь от а/д М-7, 389 км",54.696,57.849,,2018-03-11 12:45:00,Светлое время суток,Ясно,Сухое,7,"Дети, Все участники",С погибшими,1,5
1723706,Дорожно-транспортные происшествия,Наезд на препятствие,Краснодарский край,Кореновский район,"г Кореновск, ул Суворова, Красная ул",39.444952,45.450001,"Нерегулируемый перекрёсток неравнозначных улиц (дорог), АЗС, Регулируемый перекрёсток, Регулируемый пешеходный переход, Эстакада, путепровод",2019-09-06 02:20:00,"В темное время суток, освещение отсутствует",Ясно,"Сухое, Отсутствие освещения",2,Все участники,С погибшими,1,1
1888767,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Наезд на пешехода,Ленинградская область,Приозерский район,"СПб - Запорожское - Приозерск, 67 км",30.5125,60.571667,Нерегулируемый перекрёсток неравнозначных улиц (дорог),2015-04-28 13:10:00,Светлое время суток,Пасмурно,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Отсутствие тротуаров (пешеходных дорожек)",2,"Пешеходы, Дети, Все участники",С погибшими,1,0
2777809,Дорожно-транспортные происшествия,Столкновение,Ленинградская область,Всеволожский район,"А-118 Кольцевая автомобильная дорога вокруг Санкт-Петербурга, 25 км",30.379558,60.080085,,2022-11-14 10:00:00,Светлое время суток,Ясно,Сухое,4,Все участники,Легкий,0,2
1869089,Дорожно-транспортные происшествия,Наезд на пешехода,Ярославская область,Переславский район,"с Нагорье, ул Адмирала Спиридова, 19",38.259849,56.916328,Нерегулируемый перекрёсток неравнозначных улиц (дорог),2018-10-28 10:30:00,Светлое время суток,Пасмурно,Мокрое,2,"Пешеходы, Все участники",С погибшими,1,0
2156388,Дорожно-транспортные происшествия,Съезд с дороги,Московская область,Шаховской,"ТВЕРЬ-ЛОТОШИНО-ШАХОВСКАЯ-УВАРОВКА, 120 км",35.519518,55.940642,,2017-07-22 06:45:00,Светлое время суток,Ясно,Сухое,1,Все участники,Легкий,0,1
2585014,Дорожно-транспортные происшествия,Наезд на пешехода,Ростовская область,Ростов-на-Дону,"г Ростов-на-Дону, ул Советская, 23 1",39.757698,47.229616,"Административные здания, Регулируемый перекресток, Регулируемый перекрёсток, Регулируемый пешеходный переход",2021-06-17 22:25:00,"В темное время суток, освещение включено",Пасмурно,"Мокрое, Отсутствие пешеходных ограждений в необходимых местах",2,"Пешеходы, Все участники",Легкий,0,1
2492736,Дорожно-транспортные происшествия,Столкновение,Республика Башкортостан,Уфимский,"Курасково - Нурлино - Арсланово, 2 км",55.76467,54.824055,Нерегулируемый перекрёсток неравнозначных улиц (дорог),2020-10-24 06:00:00,Сумерки,Ясно,Мокрое,3,Все участники,Легкий,0,1
2784023,Дорожно-транспортные происшествия,Съезд с дороги,Кемеровская область - Кузбасс,Тисульский район,"Новосибирск-Иркутск-Усть-Серта-Листвянка-Усть-Колба, 49 км",88.30317,55.869815,Нерегулируемый перекрёсток неравнозначных улиц (дорог),2022-11-22 23:15:00,"В темное время суток, освещение отсутствует",Метель,Заснеженное,4,Все участники,Тяжёлый,0,2
2107984,Дорожно-транспортные происшествия,Наезд на пешехода,Владимирская область,Петушинский район,"д Новые Омутищи, ул Центральная, 13",39.3186,55.9278,Нерегулируемый пешеходный переход,2017-12-04 21:45:00,"В темное время суток, освещение включено",Дождь,Мокрое,3,"Пешеходы, Все участники",С погибшими,1,1
2467324,Дорожно-транспортные происшествия,Опрокидывание,Волгоградская область,Волгоград,"г Волгоград, ул им маршала Жукова, 35",44.500262,48.726013,"Жилые дома индивидуальной застройки, Остановка общественного транспорта, Нерегулируемый перекрёсток",2020-03-04 22:50:00,"В темное время суток, освещение включено",Ясно,Сухое,2,Все участники,С погибшими,1,1
1606839,Дорожно-транспортные происшествия,Столкновение,Смоленская область,Починсковский район,"Лучеса - Климщина - Шмаково, 10 км",32.5557,53.4386,,2016-11-30 08:30:00,Светлое время суток,Ясно,"Сухое, Недостатки зимнего содержания",2,Все участники,С погибшими,1,1
2154891,Дорожно-транспортные происшествия,Столкновение,Московская область,Дзержинский,"г Дзержинский, ул Строителей, 7",55.631827,37.845624,"Многоквартирные жилые дома, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Нерегулируемый пешеходный переход",2017-09-19 12:00:00,Светлое время суток,Пасмурно,"Сухое, Неправильное применение, плохая видимость дорожных знаков",2,"Мотоциклисты, Все участники",Легкий,0,1
2540215,Дорожно-транспортные происшествия,Столкновение,Кемеровская область - Кузбасс,Новокузнецк,"г Новокузнецк, ул Транспортная, 91Б",87.164744,53.747543,"Многоквартирные жилые дома, Регулируемый перекресток, Регулируемый пешеходный переход",2021-01-31 21:45:00,"В темное время суток, освещение включено",Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части, Обработанное противогололедными материалами",4,Все участники,Тяжёлый,0,4
1963917,Дорожно-транспортные происшествия,Столкновение,Рязанская область,Рязань,"г Рязань, ул Интернациональная, 3а",39.65078,54.677671,"Выезд с прилегающей территории, Административные здания, Остановка общественного транспорта, Нерегулируемый перекрёсток, Медицинские (лечебные) организации",2017-02-01 15:14:00,Светлое время суток,Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части, Обработанное противогололедными материалами, Отсутствие дорожных знаков в необходимых местах",4,Все участники,Тяжёлый,0,2
2253208,Дорожно-транспортные происшествия,Съезд с дороги,Челябинская область,Брединский район,"ЧЕРНОРЕЧЬЕ-ЧЕСМА-ВАРНА-КАРТАЛЫ-БРЕДЫ, 193 км",60.410814,52.563465,,2020-06-13 04:00:00,Сумерки,Ясно,Сухое,2,Все участники,Тяжёлый,0,1
1776487,Дорожно-транспортные происшествия,Столкновение,Свердловская область,Екатеринбург,"г Екатеринбург, б-р ЭКСПО-бульвар, 2",60.771389,56.763686,"Административные здания, Эстакада, путепровод",2019-03-19 08:50:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,Все участники,Легкий,0,1
1702988,Дорожно-транспортные происшествия,Наезд на пешехода,Краснодарский край,Туапсинский район,"с Ольгинка, ул Черноморская, 2А",38.8867,44.2017,Внутридворовая территория,2016-02-19 15:00:00,Светлое время суток,Ясно,Сухое,2,"Все участники, Пешеходы",Тяжёлый,0,1
2297582,Дорожно-транспортные происшествия,Столкновение,Ульяновская область,Николаевский район,"Бестужевка-Барыш-Николаевка-Павловка-гр.области, 114 км",47.200366,53.12703,"Мост, Жилые дома индивидуальной застройки, Нерегулируемый перекрёсток равнозначных улиц (дорог), Нерегулируемый пешеходный переход, Нерегулируемый перекрёсток",2019-05-22 22:40:00,"В темное время суток, освещение включено",Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Мотоциклисты, Все участники",С погибшими,1,0
1578373,Дорожно-транспортные происшествия,Столкновение,Москва,Клёновское,,37.4683,55.5553,,2016-08-01 09:00:00,Светлое время суток,Ясно,Сухое,3,Все участники,Тяжёлый,0,2
1772775,Дорожно-транспортные происшествия,Столкновение,Свердловская область,Екатеринбург,"г Екатеринбург, Екатеринбургская кольцевая автомобильная дорога, 55 км",60.3472,56.8667,,2016-03-13 20:10:00,"В темное время суток, освещение отсутствует",Пасмурно,Сухое,3,Все участники,С погибшими,1,1
2608059,Дорожно-транспортные происшествия,Столкновение,Москва,Бирюлево Западное,"г Москва, Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона, 32 км",37.620621,55.57473,"Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта), Объект строительства, Надземный пешеходный переход",2021-07-25 10:50:00,Светлое время суток,Пасмурно,Сухое,3,Все участники,Легкий,0,1
2215768,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Наезд на пешехода,Удмуртская Республика,Ижевск,,53.284925,56.841068,"Многоквартирные жилые дома, Остановка общественного транспорта, Школа либо иная детская (в т.ч. дошкольная) организация, Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов",2019-10-04 17:03:00,Светлое время суток,Ясно,Сухое,2,"Пешеходы, Дети, Все участники",Легкий,0,1
2784423,Дорожно-транспортные происшествия,Столкновение,Ростовская область,Ростов-на-Дону,"г Ростов-на-Дону, б-р Комарова, 24А",39.705105,47.289134,"Выезд с прилегающей территории, Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта), Нерегулируемый пешеходный переход",2022-11-07 17:40:00,Сумерки,Пасмурно,Сухое,3,Все участники,Тяжёлый,0,1
2760194,Дорожно-транспортные происшествия,Опрокидывание,Новгородская область,Пестовский район,"г Пестово, ул Пионеров, 86",35.794444,58.583629,"Жилые дома индивидуальной застройки, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов",2022-09-26 16:40:00,Светлое время суток,Пасмурно,"Сухое, Неудовлетворительное состояние обочин, Отсутствие тротуаров (пешеходных дорожек)",1,"Мотоциклисты, Все участники",Тяжёлый,0,1
1875224,Дорожно-транспортные происшествия,Наезд на пешехода,Ярославская область,Ярославль,"г Ярославль, пр-кт Авиаторов, 35б стр.",39.9153,57.6421,Жилые дома индивидуальной застройки,2020-02-20 14:00:00,Светлое время суток,Пасмурно,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Дефекты покрытия, Отсутствие тротуаров (пешеходных дорожек)",2,"Пешеходы, Все участники",Легкий,0,1
