accident_id,vehicle_id,category,brand,model,year
2585509,2585509_1,"В-класс (малый) до 3,9 м",TOYOTA,Yaris,2008.0
2585509,2585509_2,"С-класс (малый средний, компактный) до 4,3 м",TOYOTA,Vista,1997.0
2731878,2731878_1,"В-класс (малый) до 3,9 м",CITROEN,C4,2013.0
2851820,2851820_1,"С-класс (малый средний, компактный) до 4,3 м",DODGE,Stratus,2003.0
2977010,2977010_1,"В-класс (малый) до 3,9 м",NISSAN,Juke,2013.0
2314097,2314097_1,"С-класс (малый средний, компактный) до 4,3 м",HYUNDAI,Прочие модели Hyundai,2009.0
2314097,2314097_2,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ, Жигули  ВАЗ-2106 модификации,1985.0
2317188,2317188_1,"D-класс (средний) до 4,6 м",TOYOTA,RAV 4,2006.0
2317188,2317188_2,"D-класс (средний) до 4,6 м",FORD,Focus,2007.0
2317188,2317188_3,"D-класс (средний) до 4,6 м",NISSAN,Bleubird,1985.0
2321126,2321126_1,"D-класс (средний) до 4,6 м",TOYOTA,Camry,2005.0
2320301,2320301_1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ,Прочие модели ВАЗ,1997.0
2589153,2589153_1,"С-класс (малый средний, компактный) до 4,3 м",TOYOTA,Corolla,2002.0
2801426,2801426_1,"В-класс (малый) до 3,9 м",TOYOTA,Caldina,2001.0
2801426,2801426_2,"В-класс (малый) до 3,9 м",TOYOTA,Corolla,1999.0
2321988,2321988_1,"В-класс (малый) до 3,9 м",TOYOTA,Corona,1995.0
2321988,2321988_2,"В-класс (малый) до 3,9 м",ВАЗ," Жигули  ВАЗ-2108, 09 и модификации                       ",1991.0
2746212,2746212_1,"В-класс (малый) до 3,9 м",ВАЗ, Нива  ВАЗ-2121 и модификации,2006.0
2783055,2783055_1,Прочие легковые автомобили,TOYOTA,Highlander,2002.0
2320957,2320957_1,Мотороллеры,Прочие марки ТС,Прочие марки и модели ТС,1960.0
2840596,2840596_1,"В-класс (малый) до 3,9 м",TOYOTA,Sprinter,1999.0
2746231,2746231_1,"С-класс (малый средний, компактный) до 4,3 м",TOYOTA,Chaser,1997.0
2827751,2827751_1,"В-класс (малый) до 3,9 м",ВАЗ, Жигули  ВАЗ-2104 модификации,1999.0
2322147,2322147_1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ,Kalina,2008.0
2322147,2322147_2,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ,"ВАЗ 2110, 21101, 21102, 21103, 21108",2001.0
2539346,2539346_1,"В-класс (малый) до 3,9 м",TOYOTA,Corona,1996.0
2539346,2539346_2,"В-класс (малый) до 3,9 м",TOYOTA,Прочие модели Toyota,2005.0
2059475,2059475_1,"С-класс (малый средний, компактный) до 4,3 м",MAZDA,Прочие модели Mazda,2003.0
2697968,2697968_1,"В-класс (малый) до 3,9 м",ВАЗ, Ока  ВАЗ-1111 и модификации,2004.0
2061436,2061436_1,"В-класс (малый) до 3,9 м",NISSAN,Micra (March),2001.0
2061436,2061436_2,Бортовые грузовые автомобили,NISSAN,Прочие марки Nissan,2001.0
2058864,2058864_1,Прочие легковые автомобили,MITSUBISHI,Pajero,2014.0
2062223,2062223_1,Прочие легковые автомобили,УАЗ,УАЗ 469,1979.0
2062223,2062223_2,Велосипеды,,,
2063203,2063203_1,"В-класс (малый) до 3,9 м",TOYOTA,Cresta,1984.0
2060478,2060478_1,"В-класс (малый) до 3,9 м",HONDA,Accord,1987.0
2060478,2060478_2,"В-класс (малый) до 3,9 м",NISSAN,Bleubird,2010.0
2897127,2897127_1,Мопеды с двигателем внутреннего сгорания менее 50 см. куб.,Прочие марки ТС,Прочие марки и модели ТС,2019.0
2218036,2218036_1,Мотоциклы,ИЖ,Юпитер,1988.0
2218036,2218036_2,Фургоны,УАЗ,3909,2015.0
2223787,2223787_1,"В-класс (малый) до 3,9 м",LIFAN,Прочие модели Lifan,2013.0
2218933,2218933_1,"D-класс (средний) до 4,6 м",RENAULT,Duster,2013.0
2218933,2218933_2,"D-класс (средний) до 4,6 м",SKODA,Octavia,2010.0
2570435,2570435_1,Мопеды с двигателем внутреннего сгорания более 50 см. куб.,Прочие марки ТС,Прочие марки и модели ТС,2010.0
2570435,2570435_2,Прочие грузовые автомобили,КАМАЗ,Прочие модели КАМАЗ,2013.0
2118108,2118108_1,"В-класс (малый) до 3,9 м",HYUNDAI,Solaris,2013.0
2115702,2115702_1,Минивэны и универсалы повышенной вместимости,OPEL,Mokka,2013.0
2115702,2115702_2,"С-класс (малый средний, компактный) до 4,3 м",OPEL,Astra,2011.0
2115365,2115365_1,"В-класс (малый) до 3,9 м",KIA,Rio,2016.0
2115365,2115365_2,"В-класс (малый) до 3,9 м",ВАЗ, Жигули  ВАЗ-2107 модификации,2002.0
2116622,2116622_1,Прочие одноярусные,ГАЗ,"2217, 22171, 22177  Соболь  и модификации",2004.0
2974892,2974892_1,Мопеды с электродвигателем менее 4 кВт,Прочие марки ТС,Прочие марки и модели ТС,2016.0
2974892,2974892_2,"В-класс (малый) до 3,9 м",SKODA,Rapid,2018.0
2119701,2119701_1,"В-класс (малый) до 3,9 м",FORD,Focus,2010.0
2699818,2699818_1,Прочие легковые автомобили,BMW,Прочие модели BMW,2007.0
2699818,2699818_2,"С-класс (малый средний, компактный) до 4,3 м",MITSUBISHI,Pajero,2004.0
2699818,2699818_3,Прочие легковые автомобили,NISSAN,Прочие модели Nissan,2012.0
1586153,1586153_1,"В-класс (малый) до 3,9 м",RENAULT,Logan,2014.0
2513260,2513260_1,Прочие легковые автомобили,VOLKSWAGEN,Tiguan,2011.0
2513260,2513260_2,Одноэтажные длиной от 5 до 8 м,MERCEDES,Прочие модели Mercedes,2014.0
1583305,1583305_1,"С-класс (малый средний, компактный) до 4,3 м",HYUNDAI,Solaris,2012.0
1585111,1585111_1,"В-класс (малый) до 3,9 м",KIA,Rio,2012.0
2743323,2743323_1,Одноэтажные длиной от 5 до 8 м,IVECO,Daily,2014.0
2743323,2743323_2,Седельные тягачи,КАМАЗ,6522,2016.0
1864814,1864814_1,"А-класс (особо малый) до 3,5 м",CHEVROLET,Прочие модели Chevrolet,2008.0
1864814,1864814_2,"А-класс (особо малый) до 3,5 м",ВАЗ, Жигули  ВАЗ-2107 модификации,2008.0
2534386,2534386_1,"В-класс (малый) до 3,9 м",ВАЗ,Granta (Гранта),2015.0
2521760,2521760_1,"С-класс (малый средний, компактный) до 4,3 м",RENAULT,Logan,2006.0
2521760,2521760_2,"С-класс (малый средний, компактный) до 4,3 м",CHEVROLET,Прочие модели Chevrolet,2007.0
1861658,1861658_1,"В-класс (малый) до 3,9 м",ВАЗ,Granta (Гранта),2015.0
1861658,1861658_2,"В-класс (малый) до 3,9 м",RENAULT,Fluence,2014.0
