Признак,Важность
"cat__light_В темное время суток, освещение отсутствует",0.4133
remainder__participants_count,0.2095
remainder__has_violating_pedestrian,0.0998
remainder__drivers_gender_female,0.0579
cat__category_Опрокидывание,0.0338
cat__category_Съезд с дороги,0.0308
cat__light_Светлое время суток,0.0273
cat__category_Наезд,0.0249
remainder__sin_time,0.0189
remainder__avg_experience,0.0186
remainder__cos_time,0.0151
remainder__avg_vehicle_age,0.0145
cat__category_Другой тип,0.0095
cat__category_Столкновение,0.0082
"cat__light_В темное время суток, освещение включено",0.0079
remainder__adverse_weather,0.0068
remainder__is_weekend,0.0023
cat__category_Наезд на пешехода,0.0007
cat__light_Сумерки,0.0002
cat__light_Не установлено,0.0
